train_loss_step,epoch,step,train_loss_epoch,val_ND_main_model,val_CRPS_main_model,val_MSE_main_model,val_NRMSE_main_model,test_ND_main_model,test_CRPS_main_model,test_MSE_main_model,test_NRMSE_main_model
0.17180150747299194,0,49,,,,,,,,,
,0,63,0.46765971183776855,,,,,,,,
3.5443427562713623,1,99,,,,,,,,,
,1,127,0.5140864849090576,,,,,,,,
0.2506225109100342,2,149,,,,,,,,,
,2,191,1.1484785079956055,,,,,,,,
0.10041126608848572,3,199,,,,,,,,,
15.005302429199219,3,249,,,,,,,,,
,3,255,1.0564990043640137,,,,,,,,
0.4140004515647888,4,299,,,,,,,,,
,4,319,0.5025044083595276,,,,,,,,
0.09278823435306549,5,349,,,,,,,,,
,5,383,2.068011999130249,,,,,,,,
0.12424863129854202,6,399,,,,,,,,,
,6,447,1.382689356803894,,,,,,,,
0.21877886354923248,7,449,,,,,,,,,
0.15652117133140564,7,499,,,,,,,,,
,7,511,0.6423455476760864,,,,,,,,
0.19594024121761322,8,549,,,,,,,,,
,8,575,0.4923246204853058,,,,,,,,
0.0940062627196312,9,599,,,,,,,,,
,9,639,0.7600831985473633,,,,,,,,
0.10610362142324448,10,649,,,,,,,,,
0.2519069314002991,10,699,,,,,,,,,
,10,703,0.4270709156990051,,,,,,,,
0.10309688001871109,11,749,,,,,,,,,
,11,767,5.820804595947266,,,,,,,,
0.04863574355840683,12,799,,,,,,,,,
,12,831,0.6986808180809021,,,,,,,,
0.13741949200630188,13,849,,,,,,,,,
,13,895,0.14951464533805847,,,,,,,,
0.0551329180598259,14,899,,,,,,,,,
0.2236902415752411,14,949,,,,,,,,,
,14,959,1.2441701889038086,,,,,,,,
0.042411405593156815,15,999,,,,,,,,,
,15,1023,0.5590591430664062,,,,,,,,
0.08466645330190659,16,1049,,,,,,,,,
,16,1087,0.8809158802032471,,,,,,,,
0.06029708683490753,17,1099,,,,,,,,,
0.9526544809341431,17,1149,,,,,,,,,
,17,1151,0.20423796772956848,,,,,,,,
0.052946314215660095,18,1199,,,,,,,,,
,18,1215,0.8640974760055542,,,,,,,,
0.11309828609228134,19,1249,,,,,,,,,
,19,1279,0.21533368527889252,inf,inf,3.594554809439405e-22,inf,inf,inf,3.813290770717516e-22,inf
0.029888225719332695,20,1299,,,,,,,,,
,20,1343,0.10568583011627197,,,,,,,,
0.015025542117655277,21,1349,,,,,,,,,
0.027194565162062645,21,1399,,,,,,,,,
,21,1407,10.110063552856445,,,,,,,,
0.02331976406276226,22,1449,,,,,,,,,
,22,1471,0.4348282516002655,,,,,,,,
0.04519454762339592,23,1499,,,,,,,,,
,23,1535,3.3774008750915527,,,,,,,,
0.022712303325533867,24,1549,,,,,,,,,
0.012701529078185558,24,1599,,,,,,,,,
,24,1599,0.24539008736610413,,,,,,,,
0.02889075316488743,25,1649,,,,,,,,,
,25,1663,0.20711690187454224,,,,,,,,
3.4400739669799805,26,1699,,,,,,,,,
,26,1727,0.3458687663078308,,,,,,,,
0.10149562358856201,27,1749,,,,,,,,,
,27,1791,0.4121231436729431,,,,,,,,
0.03239498287439346,28,1799,,,,,,,,,
0.06996329873800278,28,1849,,,,,,,,,
,28,1855,0.4427676200866699,,,,,,,,
0.029279178008437157,29,1899,,,,,,,,,
,29,1919,0.48548656702041626,,,,,,,,
0.013974640518426895,30,1949,,,,,,,,,
,30,1983,0.11657305806875229,,,,,,,,
0.3644005060195923,31,1999,,,,,,,,,
,31,2047,0.12556502223014832,,,,,,,,
0.010435296222567558,32,2049,,,,,,,,,
0.006774093024432659,32,2099,,,,,,,,,
,32,2111,0.30608657002449036,,,,,,,,
0.010435818694531918,33,2149,,,,,,,,,
,33,2175,27.079771041870117,,,,,,,,
0.0239846371114254,34,2199,,,,,,,,,
,34,2239,0.1015327125787735,,,,,,,,
0.02707347273826599,35,2249,,,,,,,,,
0.010297892615199089,35,2299,,,,,,,,,
,35,2303,0.3016597032546997,,,,,,,,
0.014105450361967087,36,2349,,,,,,,,,
,36,2367,0.4798107445240021,,,,,,,,
0.05825841426849365,37,2399,,,,,,,,,
,37,2431,0.1205516830086708,,,,,,,,
0.022185875102877617,38,2449,,,,,,,,,
,38,2495,0.22898425161838531,,,,,,,,
31.75919532775879,39,2499,,,,,,,,,
0.020326660946011543,39,2549,,,,,,,,,
