train_loss_step,epoch,step,train_loss_epoch
0.15983110666275024,0,49,
,0,63,6.902791976928711
0.2547248899936676,1,99,
,1,127,0.9265559911727905
0.1257297545671463,2,149,
,2,191,1.5240851640701294
0.5821406841278076,3,199,
0.21971380710601807,3,249,
,3,255,0.632428765296936
2.814368963241577,4,299,
,4,319,3.290022373199463
0.09402282536029816,5,349,
,5,383,1.6458228826522827
0.1923147588968277,6,399,
,6,447,0.5013664960861206
0.15061739087104797,7,449,
0.18691307306289673,7,499,
,7,511,0.1743444800376892
0.03418612480163574,8,549,
,8,575,1.1304714679718018
0.2038201242685318,9,599,
,9,639,1.7684968709945679
